HomeTeam,AwayTeam,Winner,Player,GoalTime
Azerbaijan,Hungary,Hungary,Willi Orbán,18
Azerbaijan,Hungary,Hungary,Willi Orbán,53
Azerbaijan,Hungary,Azerbaijan,Mahir Emreli,69
Azerbaijan,Hungary,Hungary,Dávid Holman,71
Belarus,Germany,Germany,Leroy Sané,13
Belarus,Germany,Germany,Marco Reus,62
Belgium,Kazakhstan,Belgium,Dries Mertens,11
Belgium,Kazakhstan,Belgium,Timothy Castagne,14
Belgium,Kazakhstan,Belgium,Romelu Lukaku,50
Croatia,Wales,Croatia,James Lawrence,17
Croatia,Wales,Croatia,Ivan Perišić,48
Croatia,Wales,Wales,David Brooks,77
Estonia,Northern Ireland,Estonia,Konstantin Vassiljev,25
Estonia,Northern Ireland,Northern Ireland,Conor Washington,77
Estonia,Northern Ireland,Northern Ireland,Josh Magennis,80
Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,56
Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,68
Greece,Italy,Italy,Nicolò Barella,23
Greece,Italy,Italy,Lorenzo Insigne,30
Greece,Italy,Italy,Leonardo Bonucci,33
Iceland,Albania,Iceland,Jóhann Berg Guðmundsson,22
Moldova,Andorra,Moldova,Igor Armaș,8
Russia,San Marino,Russia,Michele Cevoli,25
Russia,San Marino,Russia,Artem Dzyuba,31
Russia,San Marino,Russia,Fyodor Kudryashov,36
Russia,San Marino,Russia,Anton Miranchuk,41
Russia,San Marino,Russia,Artem Dzyuba,73
Russia,San Marino,Russia,Artem Dzyuba,76
Russia,San Marino,Russia,Fyodor Smolov,77
Russia,San Marino,Russia,Fyodor Smolov,83
Russia,San Marino,Russia,Artem Dzyuba,88
Scotland,Cyprus,Scotland,Andrew Robertson,61
Scotland,Cyprus,Cyprus,Ioannis Kousoulos,87
Scotland,Cyprus,Scotland,Oliver Burke,89
Turkey,France,Turkey,Kaan Ayhan,30
Turkey,France,Turkey,Cengiz Ünder,40
Portugal,Netherlands,Portugal,Gonçalo Guedes,60
Portugal,Netherlands,Portugal,Gonçalo Guedes,60
Bulgaria,Kosovo,Kosovo,Milot Rashica,14
Bulgaria,Kosovo,Bulgaria,Ivelin Popov,43
Bulgaria,Kosovo,Bulgaria,Kristian Dimitrov,55
Bulgaria,Kosovo,Kosovo,Vedat Muriqi,64
Bulgaria,Kosovo,Kosovo,Elbasan Rashani,90
Czech Republic,Montenegro,Czech Republic,Jakub Jankto,18
Czech Republic,Montenegro,Czech Republic,Boris Kopitović,49
Czech Republic,Montenegro,Czech Republic,Patrik Schick,82
Denmark,Georgia,Denmark,Kasper Dolberg,13
Denmark,Georgia,Georgia,Saba Lobzhanidze,25
Denmark,Georgia,Denmark,Christian Eriksen,30
Denmark,Georgia,Denmark,Kasper Dolberg,63
Denmark,Georgia,Denmark,Yussuf Poulsen,73
Denmark,Georgia,Denmark,Martin Braithwaite,90
Faroe Islands,Norway,Norway,Bjørn Maars Johnsen,49
Faroe Islands,Norway,Norway,Bjørn Maars Johnsen,83
Latvia,Slovenia,Slovenia,Domen Črnigoj,24
Latvia,Slovenia,Slovenia,Domen Črnigoj,27
Latvia,Slovenia,Slovenia,Josip Iličić,29
Latvia,Slovenia,Slovenia,Josip Iličić,44
Latvia,Slovenia,Slovenia,Miha Zajc,47
Malta,Romania,Romania,George Pușcaș,7
Malta,Romania,Romania,George Pușcaș,29
Malta,Romania,Romania,Alexandru Chipciu,34
Malta,Romania,Romania,Dennis Man,90
North Macedonia,Austria,North Macedonia,Martin Hinteregger,18
North Macedonia,Austria,Austria,Valentino Lazaro,39
North Macedonia,Austria,Austria,Marko Arnautović,62
North Macedonia,Austria,Austria,Marko Arnautović,82
North Macedonia,Austria,Austria,Egzon Bejtulai,86
Poland,Israel,Poland,Krzysztof Piątek,35
Poland,Israel,Poland,Robert Lewandowski,56
Poland,Israel,Poland,Kamil Grosicki,59
Poland,Israel,Poland,Damian Kądzior,84
Republic of Ireland,Gibraltar,Republic of Ireland,Joseph Chipolina,29
Republic of Ireland,Gibraltar,Republic of Ireland,Robbie Brady,90
Serbia,Lithuania,Serbia,Aleksandar Mitrović,20
Serbia,Lithuania,Serbia,Aleksandar Mitrović,34
Serbia,Lithuania,Serbia,Luka Jović,35
Serbia,Lithuania,Lithuania,Arvydas Novikovas,71
Serbia,Lithuania,Serbia,Adem Ljajić,90
Spain,Sweden,Spain,Sergio Ramos,64
Spain,Sweden,Spain,Álvaro Morata,85
Spain,Sweden,Spain,Mikel Oyarzabal,87
Ukraine,Luxembourg,Ukraine,Roman Yaremchuk,6
Albania,Moldova,Albania,Sokol Çikalleshi,66
Albania,Moldova,Albania,Ylber Ramadani,90
Andorra,France,France,Kylian Mbappé,11
Andorra,France,France,Wissam Ben Yedder,30
Andorra,France,France,Florian Thauvin,45
Andorra,France,France,Kurt Zouma,60
Azerbaijan,Slovakia,Slovakia,Stanislav Lobotka,8
Azerbaijan,Slovakia,Slovakia,Juraj Kucka,27
Azerbaijan,Slovakia,Azerbaijan,Ramil Sheydayev,29
Azerbaijan,Slovakia,Slovakia,Marek Hamšík,30
Azerbaijan,Slovakia,Slovakia,Marek Hamšík,57
Azerbaijan,Slovakia,Slovakia,Dávid Hancko,85
Belarus,Northern Ireland,Northern Ireland,Paddy McNair,86
Belgium,Scotland,Belgium,Romelu Lukaku,45
Belgium,Scotland,Belgium,Romelu Lukaku,57
Belgium,Scotland,Belgium,Kevin De Bruyne,90
Brunei,Mongolia,Brunei,Razimie Ramlli,5
Brunei,Mongolia,Brunei,Razimie Ramlli,34
Brunei,Mongolia,Mongolia,Norjmoogiin Tsedenbal,47
Germany,Estonia,Germany,Marco Reus,10
Germany,Estonia,Germany,Serge Gnabry,17
Germany,Estonia,Germany,Leon Goretzka,20
Germany,Estonia,Germany,İlkay Gündoğan,26
Germany,Estonia,Germany,Marco Reus,37
Germany,Estonia,Germany,Serge Gnabry,62
Germany,Estonia,Germany,Timo Werner,79
Germany,Estonia,Germany,Leroy Sané,88
Greece,Armenia,Armenia,Aleksandre Karapetian,8
Greece,Armenia,Armenia,Gevorg Ghazaryan,33
Greece,Armenia,Greece,Zeca,54
Greece,Armenia,Armenia,Tigran Barseghyan,74
Greece,Armenia,Greece,Kostas Fortounis,87
Guam,Bhutan,Guam,Isiah Lagutang,23
Guam,Bhutan,Guam,Jason Cunliffe,27
Guam,Bhutan,Guam,Shane Malcolm,51
Guam,Bhutan,Guam,Jason Cunliffe,82
Guam,Bhutan,Guam,Jason Cunliffe,90
Hungary,Wales,Hungary,Máté Pátkai,80
Iceland,Turkey,Iceland,Ragnar Sigurðsson,21
Iceland,Turkey,Iceland,Ragnar Sigurðsson,32
Iceland,Turkey,Turkey,Dorukhan Toköz,40
Italy,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,32
Italy,Bosnia and Herzegovina,Italy,Lorenzo Insigne,49
Italy,Bosnia and Herzegovina,Italy,Marco Verratti,86
Kazakhstan,San Marino,Kazakhstan,Islambek Kuat,45
Kazakhstan,San Marino,Kazakhstan,Maxim Fedin,62
Kazakhstan,San Marino,Kazakhstan,Gafurzhan Suyumbayev,65
Kazakhstan,San Marino,Kazakhstan,Bauyrzhan Islamkhan,79
Liechtenstein,Finland,Finland,Teemu Pukki,37
Liechtenstein,Finland,Finland,Benjamin Källman,57
Malaysia,Timor-Leste,Malaysia,Shahrel Fikri,11
Malaysia,Timor-Leste,Malaysia,Shahrel Fikri,17
Malaysia,Timor-Leste,Malaysia,Mohamadou Sumareh,37
Malaysia,Timor-Leste,Malaysia,Akhyar Rashid,55
Malaysia,Timor-Leste,Malaysia,Shahrel Fikri,64
Malaysia,Timor-Leste,Timor-Leste,Rufino Gama,72
Pakistan,Cambodia,Pakistan,Hassan Bashir,17
Pakistan,Cambodia,Cambodia,Sath Rosib,64
Pakistan,Cambodia,Cambodia,Reung Bunheing,89
Russia,Cyprus,Russia,Aleksei Ionov,38
Brazil,Bolivia,Brazil,Philippe Coutinho,50
Brazil,Bolivia,Brazil,Philippe Coutinho,53
Brazil,Bolivia,Brazil,Everton Soares,85
Argentina,Colombia,Colombia,Roger Martínez,71
Argentina,Colombia,Colombia,Duván Zapata,86
Canada,Martinique,Canada,Jonathan David,33
Canada,Martinique,Canada,Jonathan David,53
Canada,Martinique,Canada,Junior Hoilett,63
Canada,Martinique,Canada,Scott Arfield,67
Mexico,Cuba,Mexico,Uriel Antuna,2
Mexico,Cuba,Mexico,Raúl Jiménez,31
Mexico,Cuba,Mexico,Diego Antonio Reyes,38
Mexico,Cuba,Mexico,Uriel Antuna,44
Mexico,Cuba,Mexico,Raúl Jiménez,64
Mexico,Cuba,Mexico,Alexis Vega,74
Mexico,Cuba,Mexico,Uriel Antuna,80
Costa Rica,Nicaragua,Costa Rica,Bryan Oviedo,7
Costa Rica,Nicaragua,Costa Rica,Celso Borges,19
Costa Rica,Nicaragua,Costa Rica,Elías Aguilar,45
Costa Rica,Nicaragua,Costa Rica,Allan Cruz,75
Haiti,Bermuda,Bermuda,Dante Leverock,45
Haiti,Bermuda,Haiti,Frantzdy Pierrot,54
Haiti,Bermuda,Haiti,Frantzdy Pierrot,66
Paraguay,Qatar,Paraguay,Óscar Cardozo,4
Paraguay,Qatar,Paraguay,Derlis González,56
Paraguay,Qatar,Qatar,Almoez Ali,68
Paraguay,Qatar,Qatar,Juan Rodrigo Rojas,77
Uruguay,Ecuador,Uruguay,Nicolás Lodeiro,6
Uruguay,Ecuador,Uruguay,Edinson Cavani,33
Uruguay,Ecuador,Uruguay,Luis Suárez,44
Uruguay,Ecuador,Uruguay,Arturo Mina,78
Curaçao,El Salvador,El Salvador,Nelson Bonilla,45
Jamaica,Honduras,Jamaica,Dever Orgill,15
Jamaica,Honduras,Jamaica,Dever Orgill,41
Jamaica,Honduras,Honduras,Anthony Lozano,54
Jamaica,Honduras,Jamaica,Damion Lowe,56
Jamaica,Honduras,Honduras,Rubilio Castillo,90
Japan,Chile,Chile,Erick Pulgar,41
Japan,Chile,Chile,Eduardo Vargas,54
Japan,Chile,Chile,Alexis Sánchez,82
Japan,Chile,Chile,Eduardo Vargas,83
Bolivia,Peru,Bolivia,Marcelo Martins Moreno,28
Bolivia,Peru,Peru,Paolo Guerrero,45
Bolivia,Peru,Peru,Jefferson Farfán,55
Bolivia,Peru,Peru,Edison Flores,90
Panama,Trinidad and Tobago,Panama,Armando Cooper,53
Panama,Trinidad and Tobago,Panama,Yoel Bárcenas,68
United States,Guyana,United States,Paul Arriola,28
United States,Guyana,United States,Tyler Boyd,51
United States,Guyana,United States,Gyasi Zardes,55
United States,Guyana,United States,Tyler Boyd,81
Argentina,Paraguay,Paraguay,Richard Sánchez,37
Argentina,Paraguay,Argentina,Lionel Messi,57
Colombia,Qatar,Colombia,Duván Zapata,86
Cuba,Martinique,Martinique,Joris Marveaux,45
Cuba,Martinique,Martinique,Stéphane Abaul,70
Cuba,Martinique,Martinique,Kévin Fortuné,84
Mexico,Canada,Mexico,Roberto Alvarado,40
Mexico,Canada,Mexico,Andrés Guardado,54
Mexico,Canada,Canada,Lucas Cavallini,75
Mexico,Canada,Mexico,Andrés Guardado,77
Costa Rica,Bermuda,Costa Rica,Mayron George,30
Costa Rica,Bermuda,Costa Rica,Elías Aguilar,54
Costa Rica,Bermuda,Bermuda,Nahki Wells,59
Nicaragua,Haiti,Haiti,Steeven Saba,22
Nicaragua,Haiti,Haiti,Manuel Rosas Arreola,33
Uruguay,Japan,Japan,Koji Miyoshi,25
Uruguay,Japan,Uruguay,Luis Suárez,32
Uruguay,Japan,Japan,Koji Miyoshi,59
Uruguay,Japan,Uruguay,José María Giménez,66
Ecuador,Chile,Chile,José Pedro Fuenzalida,8
Ecuador,Chile,Ecuador,Enner Valencia,26
Ecuador,Chile,Chile,Alexis Sánchez,51
Egypt,Zimbabwe,Egypt,Trézéguet,41
Honduras,Curaçao,Curaçao,Leandro Bacuna,40
Bolivia,Venezuela,Venezuela,Darwin Machís,2
Bolivia,Venezuela,Venezuela,Darwin Machís,55
Bolivia,Venezuela,Bolivia,Leonel Justiniano,82
Bolivia,Venezuela,Venezuela,Josef Martínez,86
Brazil,Peru,Brazil,Casemiro,12
Brazil,Peru,Brazil,Roberto Firmino,19
Brazil,Peru,Brazil,Everton Soares,32
Brazil,Peru,Brazil,Dani Alves,53
Brazil,Peru,Brazil,Willian,90
DR Congo,Uganda,Uganda,Patrick Kaddu,14
DR Congo,Uganda,Uganda,Emmanuel Okwi,48
Guinea,Madagascar,Guinea,Sory Kaba,34
Guinea,Madagascar,Madagascar,Anicet Abel,49
Guinea,Madagascar,Madagascar,Carolus Andriamatsinoro,55
Guinea,Madagascar,Guinea,François Kamano,66
Guyana,Panama,Panama,Abdiel Arroyo,16
Guyana,Panama,Guyana,Neil Danns,33
Guyana,Panama,Panama,Terence Vancooten,40
Guyana,Panama,Panama,Eric Davis,51
Guyana,Panama,Panama,Gabriel Torres,86
Guyana,Panama,Guyana,Neil Danns,90
Nigeria,Burundi,Nigeria,Odion Ighalo,77
United States,Trinidad and Tobago,United States,Aaron Long,41
United States,Trinidad and Tobago,United States,Gyasi Zardes,66
United States,Trinidad and Tobago,United States,Gyasi Zardes,69
United States,Trinidad and Tobago,United States,Christian Pulisic,73
United States,Trinidad and Tobago,United States,Paul Arriola,78
United States,Trinidad and Tobago,United States,Aaron Long,90
Algeria,Kenya,Algeria,Baghdad Bounedjah,34
Algeria,Kenya,Algeria,Riyad Mahrez,43
Canada,Cuba,Canada,Jonathan David,3
Canada,Cuba,Canada,Lucas Cavallini,21
Canada,Cuba,Canada,Lucas Cavallini,43
Canada,Cuba,Canada,Lucas Cavallini,45
Canada,Cuba,Canada,Junior Hoilett,50
Canada,Cuba,Canada,Jonathan David,71
Canada,Cuba,Canada,Jonathan David,77
Colombia,Paraguay,Colombia,Gustavo Cuéllar,31
Martinique,Mexico,Mexico,Uriel Antuna,29
Martinique,Mexico,Martinique,Kévin Parsemain,56
Martinique,Mexico,Mexico,Raúl Jiménez,61
Martinique,Mexico,Mexico,Fernando Navarro Morán,72
Martinique,Mexico,Martinique,Jordy Delem,84
Morocco,Namibia,Morocco,Itamunua Keimuine,89
Qatar,Argentina,Argentina,Lautaro Martínez,4
Qatar,Argentina,Argentina,Sergio Agüero,82
Senegal,Tanzania,Senegal,Keita Baldé,28
Senegal,Tanzania,Senegal,Krépin Diatta,64
Bermuda,Nicaragua,Bermuda,Lejuan Simmons,60
Bermuda,Nicaragua,Bermuda,Nahki Wells,71
Chile,Uruguay,Uruguay,Edinson Cavani,82
Ecuador,Japan,Japan,Shoya Nakajima,15
Ecuador,Japan,Ecuador,Ángel Mena,35
Haiti,Costa Rica,Costa Rica,Álvaro Saborío,13
Haiti,Costa Rica,Haiti,Duckens Nazon,57
Haiti,Costa Rica,Haiti,Djimy Alexis,81
Ivory Coast,South Africa,Ivory Coast,Jonathan Kodjia,64
Mali,Mauritania,Mali,Abdoulay Diaby,37
Mali,Mauritania,Mali,Moussa Marega,45
Mali,Mauritania,Mali,Adama Traoré,55
Mali,Mauritania,Mauritania,Moctar Sidi El Hacen,72
Mali,Mauritania,Mali,Adama Traoré,74
Tunisia,Angola,Tunisia,Youssef Msakni,34
Tunisia,Angola,Angola,Djalma Campos,73
Cameroon,Guinea-Bissau,Cameroon,Banana Yaya,66
Cameroon,Guinea-Bissau,Cameroon,Stéphane Bahoken,69
Ghana,Benin,Benin,Mickaël Poté,2
Ghana,Benin,Ghana,André Ayew,9
Ghana,Benin,Ghana,Jordan Ayew,42
Ghana,Benin,Benin,Mickaël Poté,63
Honduras,El Salvador,Honduras,Jorge Álvarez,59
Honduras,El Salvador,Honduras,Rubilio Castillo,65
Honduras,El Salvador,Honduras,Bryan Acosta,75
Honduras,El Salvador,Honduras,Emilio Izaguirre,90
Jamaica,Curaçao,Jamaica,Shamar Nicholson,14
Jamaica,Curaçao,Curaçao,Juriën Gaari,90
Egypt,DR Congo,Egypt,Ahmed Elmohamady,25
Egypt,DR Congo,Egypt,Mohamed Salah,43
Nigeria,Guinea,Nigeria,Kenneth Omeruo,73
Trinidad and Tobago,Guyana,Guyana,Neil Danns,54
Trinidad and Tobago,Guyana,Trinidad and Tobago,Kevin Molino,80
Uganda,Zimbabwe,Uganda,Emmanuel Okwi,12
Uganda,Zimbabwe,Zimbabwe,Khama Billiat,40
United States,Panama,United States,Jozy Altidore,66
Kenya,Tanzania,Tanzania,Simon Msuva,6
Kenya,Tanzania,Kenya,Michael Olunga,39
Kenya,Tanzania,Tanzania,Mbwana Samatta,40
Kenya,Tanzania,Kenya,Johanna Omolo,62
Kenya,Tanzania,Kenya,Michael Olunga,80
Madagascar,Burundi,Madagascar,Marco Ilaimaharitra,76
Senegal,Algeria,Algeria,Youcef Belaïli,49
Morocco,Ivory Coast,Morocco,Youssef En-Nesyri,23
South Africa,Namibia,South Africa,Bongani Zungu,68
Tunisia,Mali,Mali,Diadie Samassékou,60
Tunisia,Mali,Tunisia,Wahbi Khazri,70
Venezuela,Argentina,Argentina,Lautaro Martínez,10
Venezuela,Argentina,Argentina,Giovani Lo Celso,74
Haiti,Canada,Canada,Jonathan David,18
Haiti,Canada,Canada,Lucas Cavallini,28
Haiti,Canada,Haiti,Duckens Nazon,50
Haiti,Canada,Haiti,Hervé Bazile,70
Haiti,Canada,Haiti,Wilde-Donald Guerrier,76
Mexico,Costa Rica,Mexico,Raúl Jiménez,44
Mexico,Costa Rica,Costa Rica,Bryan Ruiz,52
Burundi,Guinea,Guinea,Mohamed Yattara,25
Burundi,Guinea,Guinea,Mohamed Yattara,52
Egypt,Uganda,Egypt,Mohamed Salah,36
Egypt,Uganda,Egypt,Ahmed Elmohamady,45
Jamaica,Panama,Jamaica,Darren Mattocks,75
Madagascar,Nigeria,Madagascar,Lalaïna Nomenjanahary,13
Madagascar,Nigeria,Madagascar,Carolus Andriamatsinoro,53
United States,Curaçao,United States,Weston McKennie,25
Zimbabwe,DR Congo,DR Congo,Jonathan Bolingi,4
Zimbabwe,DR Congo,DR Congo,Cédric Bakambu,34
Zimbabwe,DR Congo,DR Congo,Cédric Bakambu,65
Zimbabwe,DR Congo,DR Congo,Britt Assombalonga,78
Kenya,Senegal,Senegal,Ismaïla Sarr,63
Kenya,Senegal,Senegal,Sadio Mané,71
Kenya,Senegal,Senegal,Sadio Mané,78
Namibia,Ivory Coast,Ivory Coast,Max Gradel,39
Namibia,Ivory Coast,Ivory Coast,Serey Dié,58
Namibia,Ivory Coast,Namibia,Joslin Kamatuka,71
Namibia,Ivory Coast,Ivory Coast,Wilfried Zaha,84
Namibia,Ivory Coast,Ivory Coast,Maxwel Cornet,89
South Africa,Morocco,Morocco,Mbark Boussoufa,90
Tanzania,Algeria,Algeria,Islam Slimani,35
Tanzania,Algeria,Algeria,Adam Ounas,39
Tanzania,Algeria,Algeria,Adam Ounas,45
Angola,Mali,Mali,Amadou Haidara,37
Brazil,Argentina,Brazil,Gabriel Jesus,19
Brazil,Argentina,Brazil,Roberto Firmino,71
Guinea-Bissau,Ghana,Ghana,Jordan Ayew,46
Guinea-Bissau,Ghana,Ghana,Thomas Partey,72
Haiti,Mexico,Mexico,Raúl Jiménez,93
Chile,Peru,Peru,Edison Flores,21
Chile,Peru,Peru,Yoshimar Yotún,38
Chile,Peru,Peru,Paolo Guerrero,90
United States,Jamaica,United States,Weston McKennie,9
United States,Jamaica,United States,Christian Pulisic,52
United States,Jamaica,Jamaica,Shamar Nicholson,69
United States,Jamaica,United States,Christian Pulisic,87
Morocco,Benin,Benin,Moise Adilehou,53
Morocco,Benin,Morocco,Youssef En-Nesyri,76
Uganda,Senegal,Senegal,Sadio Mané,15
Argentina,Chile,Argentina,Sergio Agüero,12
Argentina,Chile,Argentina,Paulo Dybala,22
Argentina,Chile,Chile,Arturo Vidal,59
Egypt,South Africa,South Africa,Thembinkosi Lorch,85
Nigeria,Cameroon,Nigeria,Odion Ighalo,19
Nigeria,Cameroon,Cameroon,Stéphane Bahoken,41
Nigeria,Cameroon,Cameroon,Clinton N'Jie,44
Nigeria,Cameroon,Nigeria,Odion Ighalo,63
Nigeria,Cameroon,Nigeria,Alex Iwobi,66
Algeria,Guinea,Algeria,Youcef Belaïli,24
Algeria,Guinea,Algeria,Riyad Mahrez,57
Algeria,Guinea,Algeria,Adam Ounas,82
Brazil,Peru,Brazil,Everton Soares,15
Brazil,Peru,Peru,Paolo Guerrero,44
Brazil,Peru,Brazil,Gabriel Jesus,45
Brazil,Peru,Brazil,Richarlison,90
Madagascar,DR Congo,Madagascar,Ibrahim Amada,9
Madagascar,DR Congo,DR Congo,Cédric Bakambu,21
Madagascar,DR Congo,Madagascar,Faneva Imà Andriatsima,77
Madagascar,DR Congo,DR Congo,Chancel Mbemba,90
United States,Mexico,Mexico,Jonathan dos Santos,73
Ghana,Tunisia,Tunisia,Taha Yassine Khenissi,73
Ghana,Tunisia,Ghana,Rami Bedoui,90
Mali,Ivory Coast,Ivory Coast,Wilfried Zaha,76
Nigeria,South Africa,Nigeria,Samuel Chukwueze,27
Nigeria,South Africa,South Africa,Bongani Zungu,71
Nigeria,South Africa,Nigeria,William Troost-Ekong,89
Senegal,Benin,Senegal,Idrissa Gueye,70
Ivory Coast,Algeria,Algeria,Sofiane Feghouli,20
Ivory Coast,Algeria,Ivory Coast,Jonathan Kodjia,62
Madagascar,Tunisia,Tunisia,Ferjani Sassi,52
Madagascar,Tunisia,Tunisia,Youssef Msakni,60
Madagascar,Tunisia,Tunisia,Naïm Sliti,90
Algeria,Nigeria,Algeria,William Troost-Ekong,40
Algeria,Nigeria,Nigeria,Odion Ighalo,72
Algeria,Nigeria,Algeria,Riyad Mahrez,90
Senegal,Tunisia,Senegal,Dylan Bronn,101
Tunisia,Nigeria,Nigeria,Odion Ighalo,3
Senegal,Algeria,Algeria,Baghdad Bounedjah,2
Burundi,Tanzania,Burundi,Cédric Amissi,81
Burundi,Tanzania,Tanzania,Simon Msuva,85
Djibouti,Eswatini,Djibouti,Mahdi Houssein Mahabeh,45
Djibouti,Eswatini,Eswatini,Siboniso Mamba,56
Djibouti,Eswatini,Djibouti,Abdi Idleh Hamza,74
Eritrea,Namibia,Namibia,Peter Shalulile,50
Eritrea,Namibia,Namibia,Esey Tesfay,58
Eritrea,Namibia,Eritrea,Ali Sulieman,65
Liberia,Sierra Leone,Liberia,Terrence Tisdell,18
Liberia,Sierra Leone,Sierra Leone,Kwame Quee,56
Liberia,Sierra Leone,Liberia,Mohammed Sangare,82
Liberia,Sierra Leone,Liberia,Sam Johnson,88
Mauritius,Mozambique,Mozambique,Telinho,10
South Sudan,Equatorial Guinea,Equatorial Guinea,Luis Meseguer,34
South Sudan,Equatorial Guinea,South Sudan,Niko Kata,75
São Tomé and Príncipe,Guinea-Bissau,Guinea-Bissau,Joseph Mendes,85
Armenia,Italy,Armenia,Aleksandre Karapetian,11
Armenia,Italy,Italy,Andrea Belotti,28
Armenia,Italy,Italy,Lorenzo Pellegrini,77
Armenia,Italy,Italy,Aram Ayrapetyan,80
Bahrain,Iraq,Bahrain,Kamil Al Aswad,9
Bahrain,Iraq,Iraq,Mohanad Ali,85
Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Amer Gojak,11
Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Andreas Malin,80
Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Edin Džeko,85
Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Edin Višća,87
Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Amer Gojak,89
Cambodia,Hong Kong,Hong Kong,Tan Chun Lok,16
Cambodia,Hong Kong,Cambodia,Keo Sokpheng,33
Chad,Sudan,Sudan,Ramadan Agab,13
Chad,Sudan,Sudan,Ramadan Agab,67
Chad,Sudan,Sudan,Ramadan Agab,74
Chad,Sudan,Chad,Ezechiel N'Douassel,85
Faroe Islands,Sweden,Sweden,Alexander Isak,12
Faroe Islands,Sweden,Sweden,Alexander Isak,15
Faroe Islands,Sweden,Sweden,Victor Lindelöf,23
Faroe Islands,Sweden,Sweden,Robin Quaison,41
Finland,Greece,Finland,Teemu Pukki,52
Gibraltar,Denmark,Denmark,Robert Skov,6
Gibraltar,Denmark,Denmark,Christian Eriksen,34
Gibraltar,Denmark,Denmark,Christian Eriksen,50
Gibraltar,Denmark,Denmark,Thomas Delaney,69
Gibraltar,Denmark,Denmark,Christian Gytkjær,73
Gibraltar,Denmark,Denmark,Christian Gytkjær,78
Guam,Maldives,Maldives,Ibrahim Mahudhee,27
India,Oman,India,Sunil Chhetri,24
India,Oman,Oman,Rabia Al-Alawi,82
India,Oman,Oman,Rabia Al-Alawi,90
Indonesia,Malaysia,Indonesia,Beto Gonçalves,11
Indonesia,Malaysia,Malaysia,Mohamadou Sumareh,36
Indonesia,Malaysia,Indonesia,Beto Gonçalves,38
Indonesia,Malaysia,Malaysia,Syafiq Ahmad,65
Indonesia,Malaysia,Malaysia,Mohamadou Sumareh,90
Israel,North Macedonia,Israel,Eran Zahavi,55
Israel,North Macedonia,North Macedonia,Arijan Ademi,64
Kuwait,Nepal,Kuwait,Yousef Nasser,6
Kuwait,Nepal,Kuwait,Fahad Al Hajeri,13
Kuwait,Nepal,Kuwait,Yousef Nasser,50
Kuwait,Nepal,Kuwait,Abdullah Mawei,59
Kuwait,Nepal,Kuwait,Bader Al-Mutawa,67
Kuwait,Nepal,Kuwait,Redha Abujabarah,90
Kuwait,Nepal,Kuwait,Hussain Al-Musawi,90
Mongolia,Myanmar,Mongolia,Dölgöön Amaraa,17
North Korea,Lebanon,North Korea,Jong Il-gwan,7
North Korea,Lebanon,North Korea,Jong Il-gwan,56
Norway,Malta,Norway,Sander Berge,34
Norway,Malta,Norway,Joshua King,45
Palestine,Uzbekistan,Palestine,Oday Dabbagh,60
Palestine,Uzbekistan,Palestine,Islam Batran,85
Philippines,Syria,Philippines,Javier Patiño,6
Philippines,Syria,Syria,Omar Al Somah,14
Philippines,Syria,Syria,Khaled Mobayed,30
Philippines,Syria,Syria,Firas Al-Khatib,48
Philippines,Syria,Syria,Omar Al Somah,55
Philippines,Syria,Philippines,Mike Ott,83
Philippines,Syria,Syria,Mahmoud Al-Mawas,85
Qatar,Afghanistan,Qatar,Almoez Ali,4
Qatar,Afghanistan,Qatar,Almoez Ali,10
Qatar,Afghanistan,Qatar,Hassan Al-Haydos,13
Qatar,Afghanistan,Qatar,Abdelkarim Hassan,34
Qatar,Afghanistan,Qatar,Almoez Ali,51
Qatar,Afghanistan,Qatar,Boualem Khoukhi,67
Republic of Ireland,Switzerland,Switzerland,Fabian Schär,74
Republic of Ireland,Switzerland,Republic of Ireland,David McGoldrick,85
Romania,Spain,Spain,Sergio Ramos,29
Romania,Spain,Spain,Paco Alcácer,47
Romania,Spain,Romania,Florin Andone,59
Seychelles,Rwanda,Rwanda,Muhadjiri Hakizimana,32
Seychelles,Rwanda,Rwanda,Yannick Mukunzi,36
Seychelles,Rwanda,Rwanda,Meddie Kagere,80
Singapore,Yemen,Singapore,Ikhsan Fandi,27
Singapore,Yemen,Yemen,Abdulwasea Al-Matari,34
Singapore,Yemen,Yemen,Mohsen Qarawi,45
Singapore,Yemen,Singapore,Faris Ramli,52
Somalia,Zimbabwe,Somalia,Anwar Shakunda,86
Sri Lanka,Turkmenistan,Turkmenistan,Wahyt Orazsähedow,8
Sri Lanka,Turkmenistan,Turkmenistan,Arslanmyrat Amanow,53
Taiwan,Jordan,Jordan,Baha' Faisal,19
Taiwan,Jordan,Jordan,Ahmed Samir,37
Taiwan,Jordan,Taiwan,Wen Chih-hao,81
Tajikistan,Kyrgyzstan,Tajikistan,Alisher Dzhalilov,41
